trial	condition	stimulus	stimulus_onset	stim_uc	response	response_onset	resp_uc	correct	RTcmp	RTclc
1	easyd10	left-up	185520	4	1	186216	1	correct	695	696
2	easyd10	right_down	187224	4	1	187559	180	incorrect	0	335
3	easyd10	right_down	189581	4	1	190301	50	incorrect	720	720
4	easyd10	left-up	192322	4	1	193712	2	correct	1390	1390
5	easyd10	left-down	195731	4	2	196834	1	incorrect	1103	1103
6	easyd10	left-up	198851	4	2	199875	215	incorrect	1023	1024
7	easyd10	left-up	201897	3	1	202737	1	correct	840	840
8	easyd10	right_down	204771	4	1	205600	1	incorrect	829	829
9	easyd10	right_down	207612	4	1	208503	1	incorrect	891	891
10	easyd10	right_down	210519	3	1	211337	1	incorrect	817	818
11	easyd10	left-down	213360	3	1	214138	1	correct	778	778
12	easyd10	left-down	216151	4	1	216913	1	correct	762	762
13	easyd10	left-down	218941	4	1	219634	2	correct	693	693
14	easyd10	left-down	221648	4	1	222357	1	correct	708	709
15	easyd10	right-up	224372	4	1	225272	1	incorrect	900	900
16	easyd10	left-up	227280	4	1	228082	1	correct	802	802
17	easyd10	right_down	230104	4	2	231054	1	correct	949	950
18	easyd10	right-up	233061	3	1	234154	64	incorrect	1092	1093
19	easyd10	left-up	236170	3	1	237210	1	correct	1040	1040
20	easyd10	left-up	239228	20	1	239970	1	correct	742	742
21	easyd10	left-down	241984	4	2	242666	21	incorrect	682	682
22	easyd10	right_down	244675	18	1	245369	1	incorrect	693	694
23	easyd10	right_down	247382	4	2	248139	1	correct	756	757
24	easyd10	right-up	250156	4	2	251376	7	correct	1220	1220
25	easyd10	left-down	253398	3	1	254878	1	correct	1480	1480
26	easyd10	left-up	256890	3	1	258637	1	correct	1746	1747
27	easyd10	right_down	260650	4	2	262103	1	correct	1452	1453
28	easyd10	left-up	264125	19	1	265047	37	correct	921	922
29	easyd10	left-down	267100	4	1	267750	17	correct	650	650
30	easyd10	right-up	269757	3	2	270533	2	correct	775	776
31	easyd10	left-down	272548	4	2	273482	1	incorrect	933	934
32	easyd10	right-up	275489	4	2	276423	1	correct	934	934
33	easyd10	right-up	278430	3	2	279079	2	correct	649	649
34	easyd10	right_down	281087	6	1	282042	1	incorrect	955	955
