TTime	correct	iq	dif
0.3448	1	18	s
0.2966	0	18	s
0.3211	1	18	s
0.3017	1	18	s
0.2973	0	18	s
0.4305	1	18	s
0.301	1	18	l
0.3082	1	18	s
0.285	1	18	l
0.2832	0	18	s
0.3145	1	18	l
0.493	1	18	l
0.3491	1	18	l
0.3304	0	18	s
0.3951	1	18	s
0.5531	1	18	l
0.5284	1	18	l
0.8427	1	18	s
0.5569	1	18	s
0.4954	1	18	s
0.429	1	18	s
0.5057	1	18	s
0.4827	1	18	l
0.4155	1	18	l
0.407	1	18	l
0.4161	1	18	l
0.3636	1	18	s
0.3347	1	18	s
0.3244	1	18	l
0.3482	1	18	s
0.3153	1	18	s
0.3135	0	18	l
0.3202	1	18	l
0.3112	0	18	l
0.3185	1	18	l
0.3216	0	18	s
0.4674	1	18	l
0.2779	0	18	l
0.5938	1	18	s
0.3764	1	18	s
0.3705	1	18	s
0.3111	1	18	l
0.447	1	18	s
0.3491	1	18	s
0.3789	1	18	l
0.3642	1	18	s
0.4043	1	18	s
0.4843	1	18	s
0.3251	1	18	l
0.4638	1	18	l
0.345	1	18	s
0.3127	0	18	s
0.2675	1	18	s
0.406	0	18	l
0.3028	0	18	l
0.4766	0	18	l
0.418	0	18	l
0.3671	0	18	l
0.4881	0	18	l
0.2961	1	18	s
0.2614	1	18	s
0.4356	1	18	s
0.4269	1	18	l
0.32	1	18	l
0.3216	1	18	l
0.3026	1	18	s
0.2874	1	18	s
0.2806	1	18	s
0.2663	1	18	s
0.2832	1	18	l
0.2696	1	18	l
0.3039	0	18	s
0.2986	1	18	l
0.3512	0	18	s
0.5868	1	18	l
0.3809	1	18	l
0.3399	1	18	l
0.3279	1	18	s
0.2924	0	18	s
0.3659	1	18	s
0.4904	1	18	l
0.3312	1	18	s
0.333	1	18	s
0.588	1	18	s
0.5555	1	18	l
0.6008	1	18	l
0.5348	1	18	s
0.4317	1	18	s
0.3051	1	18	l
0.3676	1	18	l
0.4189	1	18	s
0.5874	1	18	s
0.4259	1	18	s
0.5337	1	18	s
0.5483	1	18	l
0.5169	1	18	l
0.3585	1	18	l
0.6137	1	18	s
0.5372	1	18	s
0.4613	1	18	s
